"ID_concept";"concept_name";"concept_DPSIR_class";"concept_tag";"concept_definition"
1;"Accesibility";"Driver";"Others";"Capacity to enter and move through the pine stand. Factors limiting accessibility can be high tree density, lack of trails or strong slopes. Visibility (capacity to see through the pine stand) is also included under this term"
2;"Actual evapotranspiration";"State";"Water";"Water transferred from the surface to the atmosphere due to evaporation and transpiration"
3;"Adapting use regulation to climate change";"Response";"Activity";"Management efforts to regulate uses under climate change scenarios (adaptation) "
4;"Advertising";"Response";"Others";"Marketing actions to promote tourism"
5;"Altitude";"State";"Abiotic & Biotic factors";"Elevation above sea level"
6;"Application of progressive socio-forestry policy";"Response";"Social aspects";"Policy oriented towards the increase in ecosystem natural values, as well as the enrichment of social aspects related to the ecosystem; policy aiming to break the society-nature dichotomy"
7;"Aromatic plants & Melliferous use";"Pressure";"Ecosystem services; Provisioning services";"Harvesting wildly grown plants and honey production"
8;"Artificiality degree";"State";"Others";"Artificiality in the sense of human-nature relationship. In an artificial system there is no human activity, it has no function for the society. This concept was included in one interviewee to explain that the pine stands considered in this study were created by humans but have resulted in a very artifical system"
9;"Biodiversity";"State";"Biodiversity";"Amount of species in the ecosystem; \"Biodiversity refers to the variability of living organisms from all sources, including plants and animals, and the ecosystems of which they are a part; this includes genetic biodiversity within species, the species themselves and the ecosystems they are part of.\" (EEA European forest ecosystems)"
10;"Biomass & Wood & Firewood use";"Pressure";"Activity";"Pine biomass extraction activity for energe (biomass, firewood) and construction (wood). In our area this activity is mainly focused on biomass as energy source. "
11;"Biomass & Wood & Firewood use profitability";"Impact";"Economical valorisation of ecosystem services";"Economic yield produced by wood and biomass extraction and trading"
12;"Biomass & Wood & Firewood use promotion";"Response";"Measure & Management activities";"Measures and actions taken towards the increase in the use of wood and biomass products from pine stands, including measures such as favouring biomass as energy source and facilitate self-funded treatments. Prioritising of traditional practices was highlighed by one of the interviewees"
13;"Brush-cutting";"Response";"Forest management - Action";"Clearing of shrubs and bushes, often done to prevent forest fires"
14;"Burned surface";"State";"Forest fires";"Extension of surface affected by a forest fire"
15;"Capacity to shelter fauna";"Impact";"Ecosystem services; Supporting services";"Capacity of the stand to host animal species in search of feeding and/or protection"
16;"Carbon sequestration";"Impact";"Ecosystem services; Regulating and maintenance services";"Amount of carbon stored by the ecosystem at a given time"
17;"Carbon sequestration in long term";"Impact";"Ecosystem services; Regulating and maintenance services";"Amount of carbon stored by the ecosystem in long term"
18;"Change in climate seasonality";"Pressure";"Meteorology & Climate";"Alteration of seasonal patters in climate variables"
19;"Conflict with other uses";"Pressure";"Social aspects";"Conflicts between hunting and other activities, for example due to access limitation for security reasons or disapproval of hunting by some population sectors"
20;"Conservation degree";"State";"Conservation";"Level of conservation of an ecosystem. Conservation here is understood from an anthropogenic point of view where full conservation would be the natural status that would be found in case of no human intervention"
21;"Conservation pressure";"Response";"Conservation";"Limitation and control of activities aiming to promote environmental conservation. Conservation here is understood from an anthropogenic point of view where full conservation would be the natural status that would be found in case of no human intervention"
22;"Coppice with standards & Pruning";"Response";"Forest management - Action";"Silvicultural treatments aiming reduce biomass by cutting parts of or full trees. For example, pruning or selective thinning"
23;"Costs";"Impact";"Economy & Employment";"Economic resources spending"
24;"Cultural services";"Impact";"Ecosystem services; Cultural services";"Ecosystem services related to spiritual aspects and recreational activities obtained from or performed in the corresponding ecosystem"
25;"Decay";"Impact";"Decay";"Forest processes characterised from a high mortality among trees, usually due to the interaction of multiple factors such as pests, climate change or competition"
26;"Deer population control hunting";"Response";"Measure & Management activities";"Hunting oriented to maintain deer population under certain thresholds in order to avoid overpopulation and associated damages"
27;"Ecological function";"State";"Ecological function";"Processes performed by structural elements of the ecosystem, which usually result in ecosystem services. For example, seed dispersal o nitrogen fixation."
28;"Economic benefit";"Impact";"Economy & Employment";"Improvement in economic variables. The importance of sustainability in this improvement has been highlighted "
29;"Ecosystem health";"State";"Succession & regeneration & recruitment & growth";"\"From an ecological point of view, a healthy ecosystem is one that is able to exist, reproduce and perpetuate in a given environment by maintaining a perennial structure (i.e. growth, organisation and biodiversity), and that can implement processes of resistance against adverse external threats, such as plant and animal pests, and climatic effects, in order to quickly repair eventual damages and reproduce itself (Mery, 2010).\" (EEA Report European forest ecosystems)"
30;"Ecosystem services";"Impact";"Ecosystem services";"Benefits that humans obtain directly or indirectly from the ecosystems. For example, climate regulation, spiritual reference or food production"
31;"Ecosystem services intensity";"Impact";"Ecosystem services";"Degree of ecosystem use"
32;"Ecosystem services profitability";"Impact";"Economical valorisation of ecosystem services";"Economic yield produced by ecosystem services"
33;"Employment";"Driver";"Economy & Employment";"Workforce, jobs. This local aspect was highlighted in several interviews"
34;"Environmental education";"Response";"Social aspects";"Knowledge and awareness about environmental issues. In a broad sense, also social education, elements ensuring social cohesion among communitiy members"
35;"Extensive livestock use";"Pressure";"Activity";"Extensive cattle farming activity"
36;"Fauna biodiversity";"State";"Biodiversity";"Number of animal species in the ecosystem"
37;"Fire extinguishing";"Response";"Forest fires";"Fire fighting measures and actions "
38;"Fire prevention quality";"Response";"Forest fires";"Performance of fire prevention tasks, in terms of side damage caused by it"
39;"Fires incidence";"Pressure";"Forest fires";"Occurrence of forest fires, as number of time a point was is affected within a time period"
40;"Fires intensity";"Pressure";"Forest fires";"Virulence of forest fires, degree of damage it causes"
41;"Fires propagation";"Pressure";"Forest fires";"Spreading of forest fires, magnitude of the fire"
42;"Fires risk";"Pressure";"Forest fires";"Probability of occurrence of forest fires"
43;"Forest planning execution";"Response";"Forest management - Planning";"Possibility of and actual application of the planning"
44;"Fuel quantity & quality";"State";"Forest fires";"Amount and characteristics of ignitable material. Continuity in fuel, such as vertical-horizontal continuit and continuity between the stand and populated areas, is considered to increase the burning potential (i.e. Increase the fuel quality)"
45;"Functional diversity";"State";"Biodiversity";"Measure of the variety in functions or processes performed by an ecosystem"
