"ID_matrix_to_relationship";"ID_matrix";"ID_relationship";"relationship_weight"
1;1;1;1
2;1;9;-0.5
3;1;10;0.7
4;1;8;0.7
5;1;11;-0.9
6;1;12;-0.9
7;1;16;-0.9
8;1;62;-0.5
9;1;61;-0.5
10;1;63;-0.5
11;1;65;-1
12;1;69;1
13;1;67;1
14;1;75;0.7
15;1;74;0.8
16;1;79;0.8
17;1;80;-0.6
18;1;91;0.7
19;1;89;-0.1
20;1;90;-0.9
21;1;98;-0.9
22;1;103;0.7
23;1;104;-0.9
24;1;99;-0.1
25;1;100;-0.9
26;2;126;-0.8
27;2;127;-0.5
28;2;127;0.7
29;2;142;0.8
30;2;24;-1
31;2;23;-0.8
32;2;16;-0.8
33;2;154;0.6
34;2;155;-0.7
35;2;153;-0.8
36;2;153;-0.8
37;2;81;0.7
38;2;82;0.8
39;2;157;0.6
40;3;168;0.9
41;3;169;-0.6
42;3;170;0.7
43;3;104;-1
44;3;189;-0.6
45;3;186;0.9
46;3;30;0.9
47;3;193;0.8
48;3;201;0.8
49;3;213;0.8
50;3;220;-0.4
51;3;225;-0.4
52;3;240;-0.4
53;3;244;0.6
54;3;245;-0.6
55;4;3;-0.7
56;4;30;0.9
57;4;16;-0.7
58;4;32;1
59;4;22;0.8
60;4;144;0.7
61;4;146;0.9
62;4;147;1
63;4;145;-0.8
64;4;141;-0.9
65;4;104;-1
66;4;112;1
67;4;110;1
68;4;248;1
69;4;83;1
70;4;84;0.9
71;4;85;1
72;5;250;-0.5
73;5;251;1
74;5;94;-0.5
75;5;95;1
76;5;257;0.9
77;5;256;0.9
78;5;254;-0.7
79;5;278;-0.9
80;5;277;-0.9
81;5;274;0.7
82;5;188;0.7
83;5;190;0.7
84;5;292;0.7
85;5;30;0.9
86;5;25;0.6
87;5;34;0.8
88;5;32;0.8
89;5;295;-1
90;5;298;0.7
91;5;304;1
92;5;307;1
93;5;308;1
94;5;309;1
95;5;321;0.8
96;5;322;0.8
97;5;323;0.8
98;5;324;0.8
99;5;328;0.8
100;5;327;-0.7
101;5;340;-0.3
102;5;329;-0.6
103;5;328;0.8
104;5;331;-0.8
105;5;327;-1
106;5;109;-0.8
107;5;104;-1
108;5;111;-0.7
109;5;212;-0.8
110;5;210;-1
111;5;214;-0.7
112;5;200;-0.8
113;5;198;-1
114;5;202;-0.7
115;5;352;-0.8
116;5;348;-1
117;5;354;-0.7
118;6;31;-0.8
119;6;35;-0.8
120;6;16;-0.3
121;6;16;-0.3
122;6;31;-0.1
123;6;35;-0.1
124;6;16;-0.5
125;6;16;-0.5
126;6;369;0.8
127;6;369;0.8
128;6;126;-0.9
129;6;126;-0.2
130;6;132;0.3
131;6;377;-0.8
132;6;369;0.8
133;6;369;0.8
134;6;83;0.9
135;6;86;0.9
136;6;83;0.9
137;6;86;0.9
138;6;78;0.9
139;7;168;1
140;7;176;1
141;7;174;-0.6
142;7;177;1
143;7;168;1
144;7;384;1
145;7;383;-0.7
146;7;260;1
147;7;281;-1
148;7;387;1
149;7;388;1
150;7;389;1
151;7;297;-0.3
152;7;39;1
153;7;40;-0.4
154;7;27;-0.8
155;7;31;-0.8
156;7;37;-0.8
157;7;40;-0.7
158;7;41;-0.9
159;7;19;-0.8
160;7;38;1
161;7;246;0.5
162;7;395;-1
163;7;394;-0.9
164;7;393;-0.6
165;7;396;-1
166;7;394;-1
167;7;397;-0.4
168;7;337;0.6
169;7;336;-0.1
170;7;343;-0.5
171;7;341;-0.6
172;7;335;-0.7
173;7;344;-0.8
174;7;338;-1
175;7;342;-0.4
176;7;403;0.8
177;7;408;0.5
178;7;406;-0.5
179;7;401;-0.2
180;7;401;-0.2
181;7;411;1
182;7;410;-0.2
183;7;409;0.5
184;7;404;-0.8
185;7;407;-0.3
186;8;420;-0.5
187;8;161;-0.8
188;8;426;-1
189;8;382;0.8
190;8;386;1
191;8;104;-1
192;8;292;0.8
193;8;39;1
194;8;17;0.5
195;8;263;-0.8
196;8;262;-0.7
197;8;284;0.8
198;8;283;0.7
199;8;429;1
200;8;299;0.8
201;9;432;1
202;9;431;1
203;9;438;1
204;9;93;0.6
205;9;93;0.6
206;9;70;0.6
207;9;71;0.6
208;9;442;1
209;9;447;1
210;9;446;-1
211;9;448;-1
212;9;444;-1
213;9;449;1
214;9;450;1
215;9;445;1
216;9;443;-1
217;9;453;-1
218;9;453;-1
219;9;452;-0.3
220;9;457;1
221;9;454;1
222;9;455;-1
223;9;456;-1
224;9;451;1
225;9;64;0.8
226;9;458;-0.8
227;9;459;1
228;9;461;1
229;9;464;0.8
230;9;463;0.6
231;10;129;0.6
232;10;128;1
233;10;135;-1
234;10;126;-1
235;10;134;1
236;10;130;-0.6
237;10;133;0.8
238;10;136;-1
239;10;172;0.9
240;10;179;-1
241;10;174;-1
242;10;43;0.8
243;10;34;0.8
244;10;44;1
245;10;466;0.6
246;10;465;0.8
247;10;467;0.9
248;11;471;0.5
249;11;473;-0.3
250;11;293;0.6
251;11;292;0.9
252;11;292;0.9
253;11;292;0.9
254;11;34;0.9
255;11;34;0.9
256;11;34;0.9
257;11;36;-1
258;11;375;-0.9
259;11;377;-0.3
260;11;375;-0.9
261;11;377;0.9
262;11;298;0.9
263;11;299;0.7
264;11;296;0.7
265;11;298;0.9
266;11;299;0.4
267;11;296;0.7
268;11;298;0.9
269;11;299;0.2
270;11;296;0.7
271;11;300;-0.7
272;11;472;-0.8
273;11;372;0.9
274;11;372;0.9
275;11;370;-0.6
276;11;104;-1
277;12;437;-0.4
278;12;477;0.8
279;12;475;-0.4
280;12;476;-0.4
281;12;266;0.8
282;12;13;-0.6
283;12;478;0.9
284;12;479;0.8
285;12;481;-0.9
286;12;480;-0.8
287;12;482;-0.5
288;12;484;0.7
289;12;485;0.6
290;12;489;0.8
291;13;490;0.4
292;13;233;0.8
293;13;229;-0.8
294;13;115;-0.8
295;13;380;-0.7
296;13;398;0.8
297;13;491;0.9
298;13;492;0.7
299;13;229;-0.9
300;13;235;-0.8
301;13;88;0.9
302;14;494;-0.5
303;14;499;1
304;14;137;-0.8
305;14;135;-1
306;14;117;-1
307;14;116;-1
308;14;360;-1
309;14;358;-1
310;14;430;-1
311;14;433;0.8
312;14;287;-0.5
313;14;261;1
314;14;253;0.8
315;14;268;1
316;14;502;-1
317;14;501;-0.8
318;14;505;-1
319;14;506;1
320;14;507;1
321;15;92;-1
322;15;96;0.3
323;15;92;-1
324;15;96;0.3
325;15;158;-0.5
326;15;498;1
327;15;497;1
328;15;382;1
329;15;381;-0.9
330;15;380;-0.9
331;15;385;-0.9
332;15;294;0.9
333;15;292;0.5
334;15;292;1
335;15;48;1
336;15;39;1
337;15;301;1
338;15;298;0.3
339;15;301;0.5
340;15;304;1
341;15;424;-0.8
342;15;422;1
343;15;421;1
344;15;427;1
345;15;508;1
346;15;510;1
347;15;243;1
348;15;243;1
349;15;277;-0.5
350;15;276;0.8
351;15;273;0.8
352;15;282;0.8
353;15;104;-1
354;15;119;0.8
355;16;104;-1
356;16;511;-0.5
357;16;512;0.5
358;16;380;-0.3
359;16;381;-0.6
360;16;39;0.8
361;16;25;0.8
362;16;49;-1
363;16;514;-0.5
364;16;516;0.3
365;16;517;0.7
366;16;518;0.5
367;16;462;1
368;16;522;0.6
369;16;521;0.5
370;16;528;0.6
371;16;525;0.8
372;16;241;-1
373;16;345;0.5
374;16;209;0.5
375;17;97;1
376;17;98;-0.8
377;17;531;0.8
378;17;530;0.8
379;17;532;1
380;17;104;-1
381;17;188;1
382;17;51;-1
383;17;52;-0.7
384;17;30;1
385;17;34;1
386;17;53;-0.9
387;17;19;0.8
388;17;32;0.8
389;17;28;-1
390;17;242;-0.8
391;17;304;1
392;17;302;0.8
393;17;230;-1
394;17;68;0.9
395;17;72;0.3
396;17;67;0.7
397;17;257;0.8
398;17;259;0.8
399;17;278;-0.8
400;17;280;-0.8
401;17;248;1
402;17;247;0.8
403;17;75;0.8
404;18;120;1
405;18;107;1
406;18;104;-1
407;18;119;1
408;18;515;0.5
409;18;513;0.8
410;18;54;-0.8
411;18;49;-0.5
412;18;32;1
413;18;17;0.6
414;18;54;-0.8
415;18;49;-0.5
416;18;363;0.2
417;18;351;0.5
418;18;359;1
419;18;348;-0.3
420;18;362;1
421;19;534;0.8
422;19;29;-0.8
423;19;33;-1
424;19;405;0.9
425;19;313;0.7
426;19;306;0.7
427;19;441;0.7
428;19;439;0.8
429;19;440;0.9
430;20;540;0.6
431;20;419;-0.5
432;20;35;-0.8
433;20;50;-0.5
434;20;55;-0.8
435;20;38;0.8
436;20;547;0.6
437;20;546;0.7
438;20;548;0.7
439;20;544;0.8
440;20;552;0.6
441;20;553;0.9
442;20;551;0.4
443;20;126;-0.5
444;20;131;0.4
445;20;519;0.9
446;20;520;0.5
447;20;204;0.5
448;20;207;0.7
449;20;208;0.7
450;20;216;0.5
451;20;218;0.7
452;20;219;0.7
453;21;533;0.6
454;21;555;0.8
455;21;37;-1
456;21;51;-0.6
457;21;56;0.8
458;21;18;0.9
459;21;41;-1
460;21;41;0.9
461;21;557;0.5
462;21;557;0.8
463;21;557;0.3
464;21;557;0.2
465;21;558;0.9
466;21;558;0.2
467;21;560;-0.9
468;21;561;-0.6
469;21;561;-0.6
470;21;561;-0.6
471;21;561;-0.6
472;21;104;-1
473;22;564;0.8
474;22;166;0.8
475;22;166;0.8
476;22;104;-0.7
477;22;119;0.8
478;22;362;0.8
479;22;31;-0.7
480;22;44;1
481;22;565;0.8
482;22;213;0.7
483;22;575;0.8
