"ID_relationship";"source_concept";"target_concept"
1;"Planning & projects quality";"Native forest recruitment & regeneration"
2;"Planning & projects quality";"Biodiversity"
3;"Planning & projects quality";"Costs"
4;"Planning & projects quality";"Structural diversity"
5;"Planning & projects quality";"Functional diversity"
6;"Planning & projects quality";"Participated and democratic decision-making processes"
7;"Planning & projects quality";"Forest planning execution"
8;"Environmental education";"Native forest recruitment & regeneration"
9;"Environmental education";"Fires incidence"
10;"Environmental education";"Tourism"
11;"Environmental education";"Fires risk"
12;"Environmental education";"Mycological overuse"
13;"Environmental education";"Social unrest"
14;"Environmental education";"Burned surface"
15;"Environmental education";"Successional stage"
16;"Stand density";"Native forest recruitment & regeneration"
17;"Stand density";"Fires risk"
18;"Stand density";"Mycological use"
19;"Stand density";"Biomass & Wood & Firewood use"
20;"Stand density";"Thinning"
21;"Stand density";"Stand density"
22;"Stand density";"Vulnerability against perturbations"
23;"Stand density";"Pines recruitment & regeneration"
24;"Stand density";"Pines growth"
25;"Stand density";"Stand weakening"
26;"Stand density";"Provisioning ecosystem services"
27;"Stand density";"Resilience"
28;"Stand density";"Biomass & Wood & Firewood use profitability"
29;"Stand density";"Vigour"
30;"Stand density";"Intraspecific competition"
31;"Stand density";"Biodiversity"
32;"Stand density";"Fires propagation"
33;"Stand density";"Structural diversity"
34;"Stand density";"Pests & diseases incidence"
35;"Stand density";"Functional diversity"
36;"Stand density";"Underlying vegetation abundance & development degree"
37;"Stand density";"Game abundance"
38;"Stand density";"Soil protection against erosion"
39;"Stand density";"Interspecific competition"
40;"Stand density";"Shrubland growth & regeneration"
41;"Stand density";"Pastures & Shrubs & others as food sources"
42;"Stand density";"Pines mortality"
43;"Stand density";"Decay"
44;"Stand density";"Stagnation"
45;"Stand density";"Fauna biodiversity"
46;"Stand density";"Vegetation biodiversity"
47;"Stand density";"Pests & diseases expansion"
48;"Stand density";"Fuel quantity & quality"
49;"Stand density";"Light availability"
50;"Stand density";"Soil formation"
51;"Stand density";"Accesibility"
52;"Stand density";"Rivers flow"
53;"Stand density";"Aromatic plants & Melliferous use"
54;"Stand density";"Water availability"
55;"Stand density";"Carbon sequestration"
56;"Stand density";"Capacity to shelter fauna"
57;"Stand density";"Actual evapotranspiration"
58;"Stand density";"Pests & diseases abundance"
59;"Stand density";"Soil disturbance"
60;"Stand density";"Precipitation decrease impact"
61;"Social unrest";"Tourism"
62;"Social unrest";"Mycological use"
63;"Social unrest";"Biomass & Wood & Firewood use"
