;Landscape & Tourism attraction;Economic benefit;Planning & projects quality;Environmental education;Stand density;Social unrest;Promotion of local economy;Fires incidence;Mycological use;Tourism;Native forest recruitment & regeneration;Fires risk;Biomass & Wood & Firewood use;Mycological overuse;Thinning
Landscape & Tourism attraction;;;;;;;;;;;;;;;
Economic benefit;;;;;;;;;;;;;;;
Planning & projects quality;;;;;;;;;;;1;;;;
Environmental education;;;;;;;;-0,5;;0,7;0,7;-0,9;;-0,9;
Stand density;;;;;;;;;;;-0,9;;;;
Social unrest;;;;;;;;;-0,5;-0,5;;;-0,5;;
Promotion of local economy;;;;;;-1;;;;;;;;;
Fires incidence;;;;;;;;;;;;;;;
Mycological use;;1;;;;;;;;1;;;;;
Tourism;;0,7;;;;;;;0,8;;;;;;
Native forest recruitment & regeneration;0,8;;;;;;;;;;;;;;-0,6
Fires risk;;;;;;;;;;;;;;;
Biomass & Wood & Firewood use;;0,7;;;;;;-0,1;;;;-0,9;;;
Mycological overuse;;-0,9;;;;;;;;;;;;;
Thinning;;0,7;;;-0,9;;;-0,1;;;;-0,9;;;
