;Wood quantity & quality;Thinning intensity;Structural diversity;Stand weakening;Stand density;Pines growth;Vulnerability against perturbations;Provisioning ecosystem services;Pines recruitment & regeneration;Native forest recruitment & regeneration;Resilience;Site class & Climatic fitness;Vulnerability against perturbations;Vulnerability against perturbations;Vulnerability against perturbations
Wood quantity & quality;;;;;;;;;;;;;;;
Thinning intensity;;;;;-0,8;;-0,5;;;;;;;;0,7
Structural diversity;;;;;;;;;0,8;;;;;;
Stand weakening;;;;;;;;;;;;;;;
Stand density;;;;;;-1;;;-0,8;-0,8;;;;;
Pines growth;0,6;;;-0,7;;;;;;;;;-0,8;-0,8;
Vulnerability against perturbations;;;;;;;;;;;;;;;
Provisioning ecosystem services;;;;;;;;;;;;;;;
Pines recruitment & regeneration;;;;;;;;;;;;;;;
Native forest recruitment & regeneration;;;;;;;;0,7;;;0,8;;;;
Resilience;;;;;;;;;;;;;;;
Site class & Climatic fitness;;;;;;0,6;;;;;;;;;
Vulnerability against perturbations;;;;;;;;;;;;;;;
Vulnerability against perturbations;;;;;;;;;;;;;;;
Vulnerability against perturbations;;;;;;;;;;;;;;;
