;Planning & projects quality;Intraspecific competition;Stand density;Biodiversity;Ecosystem services;Structural diversity;Structural diversity;Thinning;Costs;Biomass & Wood & Firewood use promotion;Native forest recruitment & regeneration;Fires propagation;Vulnerability against perturbations
Planning & projects quality;;;;;;;;;-0,7;;;;
Intraspecific competition;;;;;;;;;;;;;
Stand density;;0,9;;;;;;;;;-0,7;1;0,8
Biodiversity;;;;;;;;;;;;;
Ecosystem services;;;;;;;;;;;;;
Structural diversity;;;;;;;;;;;;;
Structural diversity;;;;0,7;0,9;1;;;;;;-0,8;-0,9
Thinning;;;-1;;;;1;;1;;;;
Costs;;;;;;;;;;;;;
Biomass & Wood & Firewood use promotion;;;;;;;;1;;;;;
Native forest recruitment & regeneration;;;;1;0,9;1;;;;;;;
Fires propagation;;;;;;;;;;;;;
Vulnerability against perturbations;;;;;;;;;;;;;
