;Biodiversity;Functional diversity;Stand density;Stand density;Underlying vegetation abundance & development degree;Thinning intensity;Fauna biodiversity;Underlying vegetation abundance & development degree;Native forest recruitment & regeneration;Native forest recruitment & regeneration;Native forest recruitment & regeneration
Biodiversity;;;;;;;;;;;
Functional diversity;;;;;;;;;;;
Stand density;-0,8;-0,8;;;;;;;-0,3;-0,3;
Stand density;-0,1;-0,1;;;;;;;-0,5;-0,5;
Underlying vegetation abundance & development degree;;;;;;;;;0,8;0,8;
Thinning intensity;;;-0,9;-0,2;;;;0,3;;;
Fauna biodiversity;;;;;-0,8;;;;;;
Underlying vegetation abundance & development degree;;;;;;;;;0,8;0,8;
Native forest recruitment & regeneration;0,9;0,9;;;;;;;;;
Native forest recruitment & regeneration;0,9;0,9;;;;;;;;;
Native forest recruitment & regeneration;;;;;;;;;0,9;;
