;Participated and democratic decision-making processes;Ecosystem services;Biomass & Wood & Firewood use;Biomass & Wood & Firewood use;Mycological use;Local perception on water consumption by pines;Integrated conservation policies;Conservation pressure;Social unrest;Sense of belonging;Mountain agriculture use;Extensive livestock use;Social profitability & sustainability;Fires risk;Recreation
Participated and democratic decision-making processes;;;;;;;;;;1;;;1;;
Ecosystem services;;;;;;;;;;;;;1;;
Biomass & Wood & Firewood use;;;;;;;;;;;;;0,6;;
Biomass & Wood & Firewood use;;;;;;;;;;;;;0,6;;
Mycological use;;;;;;;;;;;;;0,6;;0,6
Local perception on water consumption by pines;;;;;;;;;1;;;;;;
Integrated conservation policies;1;-1;;;;;;-1;-1;;1;1;1;-1;
Conservation pressure;;;-1;-1;-0,3;1;;;1;;-1;-1;;1;
Social unrest;;;;;;;;;;0,8;;;;;
Sense of belonging;;;;;;;;;;;;;;;
Mountain agriculture use;;;;;;;;;;;;;;;
Extensive livestock use;;;;;;;;;;;;;;;
Social profitability & sustainability;;;;;;;;;-0,8;1;;;;;
Fires risk;;;;;;;;;1;;;;;;
Recreation;;;;;;;;;;0,8;;;0,6;;
