;Scientific activity & knowledge;Ecosystem services;Change in climate seasonality;Temperature;Environmental education;Adapting use regulation to climate change;Social unrest;Conservation degree;Monetarist uses promotion;Material & human resources;Pines recruitment & regeneration;Shrubland growth & regeneration;Science-management transfer & feedback
Scientific activity & knowledge;;;;;;;;;;;;;
Ecosystem services;;;;;;;-0,4;;;;;;
Change in climate seasonality;;;;;;0,8;;;;;-0,4;-0,4;
Temperature;;;;;;0,8;;;;;;;
Environmental education;;;;;;;-0,6;;;;;;
Adapting use regulation to climate change;;0,9;;;;;;0,8;;;;;
Social unrest;;;;;;;;;;;;;
Conservation degree;;;;;;;;;;;;;
Monetarist uses promotion;;;;;;-0,9;-0,8;-0,5;;;;;
Material & human resources;0,7;;;;;;;;;;;;0,6
Pines recruitment & regeneration;;;;;;;;;;;;;
Shrubland growth & regeneration;;;;;;;;;;;;;
Science-management transfer & feedback;;;;;;0,8;;;;;;;
