;Water availability;Soil disturbance;Stand density;Functional diversity;Soil formation;Carbon sequestration;Thinning intensity;Soil protection against erosion;Shrubland planting;Quercus planting
Water availability;;;;;;0,6;;;;
Soil disturbance;;;;;;;;-0,5;;
Stand density;;;;-0,8;-0,5;-0,8;;0,8;;
Functional diversity;0,6;;;;0,7;0,7;;0,8;;
Soil formation;0,6;;;;;0,9;;0,4;;
Carbon sequestration;;;;;;;;;;
Thinning intensity;;;-0,5;0,4;;;;;;
Soil protection against erosion;0,9;;;;;0,5;;;;
Shrubland planting;;;;0,5;0,7;0,7;;;;
Quercus planting;;;;0,5;0,7;0,7;;;;
