;Game abundance;Game abundance;Game abundance;Game abundance;Game abundance;Accesibility;Hunting;Conflict with other uses;Stand density;Capacity to shelter fauna;Mycological use;Pastures & Shrubs & others as food sources;Pastures & Shrubs & others as food sources;Uses regulation & Information;Patch surface;Thinning
Game abundance;;;;;;;;;;;;;;;;
Game abundance;;;;;;;;;;;;;;;;
Game abundance;;;;;;;;;;;;;;;;
Game abundance;;;;;;;;;;;;;;;;
Game abundance;;;;;;;;;;;;;;;;
Accesibility;;;;;;;0,6;;;;;;;;;
Hunting;;;;;;;;0,8;;;;;;;;
Conflict with other uses;;;;;;;;;;;;;;;;
Stand density;;;;-1;;-0,6;;;;0,8;0,9;-1;0,9;;;
Capacity to shelter fauna;0,5;0,8;0,3;;0,2;;;;;;;;;;;
Mycological use;;;;;;;;;;;;;;;;
Pastures & Shrubs & others as food sources;0,9;;;;;;;;;;;;;;;
Pastures & Shrubs & others as food sources;;0,2;;;;;;;;;;;;;;
Uses regulation & Information;;;;;;;;-0,9;;;;;;;;
Patch surface;-0,6;-0,6;-0,6;;-0,6;;;;;;;;;;;
Thinning;;;;;;;;;-1;;;;;;;
