;Ecosystem services profitability;Landscape & Tourism attraction;Biodiversity;Thinning;Coppice with standards & Pruning;Stand density;Stagnation;Fire extinguishing;Employment;Quercus planting;Brush-cutting;Landscape & Tourism attraction
Ecosystem services profitability;;;;;;;;;;;;
Landscape & Tourism attraction;0,8;;;;;;;;;;;
Biodiversity;;0,8;;;;;;;;;;0,8
Thinning;;;;;;-0,7;;;0,8;;;
Coppice with standards & Pruning;;;;;;;;;0,8;;;
Stand density;;;-0,7;;;;1;;;;;
Stagnation;;;;;;;;;;;;
Fire extinguishing;;;;;;;;;0,8;;;
Employment;;;;;;;;;;;;
Quercus planting;;;0,7;;;;;;;;;
Brush-cutting;;;;;;;;;0,8;;;
Landscape & Tourism attraction;0,3;;;;;;;;;;;
