;Mountain agriculture use;Extensive livestock use;Other actions;Landscape & Tourism attraction;Biodiversity;Structural diversity;Temperature;Precipitation;Structural diversity;Ecological function;Shrubland encroachment;Shrubland planting;Quercus planting;Thinning;Resilience;Resistance
Mountain agriculture use;;;;;;;;;;;-0,5;;;;;
Extensive livestock use;;;;;;;;;;;-0,5;;;;;
Other actions;;;;;;;;;0,7;;;;;;;
Landscape & Tourism attraction;;;;;;;;;;;;;;;;
Biodiversity;;;;;;;;;;1;;;;;0,7;0,7
Structural diversity;;;;;1;;;;;;;;;;;
Temperature;;;;;-0,6;;;;;;;;;;;
Precipitation;;;;;0,6;;;;;;;;;;;
Structural diversity;;;;0,6;;0,8;;;;;;;;;;
Ecological function;;;;;;;;;1;;;;;;;
Shrubland encroachment;;;;;;-0,8;;;;;;;;;;
Shrubland planting;;;;;;;;;1;;;;;;;
Quercus planting;;;;;;;;;1;;;;;;;
Thinning;;;;;;;;;1;;;;;;;
Resilience;;;;;;;;;;;;;;;;
Resistance;;;;;;;;;;;;;;;;
