;Sense of belonging;Prevention and extinction infrastructures quality;Fuel quantity & quality;Promotion of local economy;Successional stage;Knowledge & experience & tools for management;Environmental education;Public & Private investment;Temperature;Humidity;Winds;Fires incidence;Burned surface;Thinning;Coppice with standards & Pruning;Brush-cutting;Group or block treatments
Sense of belonging;;;;;;;;;;;;;-0,7;;;;
Prevention and extinction infrastructures quality;;;-0,4;;;;;;;;;;;;;;
Fuel quantity & quality;;;;;;;;;;;;;0,8;;;;
Promotion of local economy;0,8;;;;;;;;;;;;;;;;
Successional stage;;;;;;;;;;;;;;;;;
Knowledge & experience & tools for management;;0,4;;;;;;;;;;;;;;;
Environmental education;;;;;0,5;;;;;;;;-0,5;;;;
Public & Private investment;;;;;;;;;;;;;;1;1;1;1
Temperature;;;;;;;;;;;;;0,8;;;;
Humidity;;;;;;;;;;;;;-0,8;;;;
Winds;;;;;;;;;;;;;0,8;;;;
Fires incidence;;;;;-1;;;;;;;;;;;;
Burned surface;;;;;-0,9;;;;;;;;;;;;
Thinning;;;;;0,9;;;;;;;;;;;;
Coppice with standards & Pruning;;;;;0,9;;;;;;;;;;;;
Brush-cutting;;;;;0,9;;;;;;;;;;;;
Group or block treatments;;;;;0,9;;;;;;;;;;;;
