;Application of progressive socio-forestry policy;Scientific activity & knowledge;Biodiversity;Artificiality degree;Sense of belonging;Public & Private investment;Participated and democratic decision-making processes;Mountain agriculture use;Hunting;Cultural services;Extensive livestock use;Biomass & Wood & Firewood use;Social & cultural & economic mountain range valuation;Political and management will
Application of progressive socio-forestry policy;;;;-1;;;;;;;;;;
Scientific activity & knowledge;1;;;;;;;;;;;;;
Biodiversity;;;;;;;;;;;;;;
Artificiality degree;;;-1;;-1;;;-0,2;-0,7;-0,8;-1;-0,5;;
Sense of belonging;;;;;;;;;;;;;0,9;
Public & Private investment;0,6;;;;;;;;;;;;;
Participated and democratic decision-making processes;1;;;;;;;;;;;;;
Mountain agriculture use;;;;;;;;;;;;;;
Hunting;;;;;;;;;;;;;;
Cultural services;;;;;;;;;;;;;;
Extensive livestock use;;;;;;;;;;;;;;
Biomass & Wood & Firewood use;;;;;;;;;;;;;;
Social & cultural & economic mountain range valuation;;;;;;;;;;;;;;
Political and management will;1;;;;;;;;;;;;;
