;Stagnation;Planning & projects quality;Thinning;Forest planning execution;Group or block treatments;Stand weakening;Stand density;Stand stability;Vigour;Fires incidence;Structural diversity;Stand collapse;Pines mortality;Forest planning execution;Participated and democratic decision-making processes;Pests & diseases incidence;Shrubland growth & regeneration;Material & human resources;Resilience;Temperature;Precipitation
Stagnation;;;;;;;;;;;;;;;;;;;;;
Planning & projects quality;;;;;;;;;;;;;;0,8;;;;;;;
Thinning;;;;;;;-0,9;;;;;;;;;;;;;;
Forest planning execution;;;;;;;;;;;;;;;0,3;;;;;;
Group or block treatments;;;;;;;;;;;0,5;;;;;;;;;;
Stand weakening;;;;;;;;;;;;0,6;;;;;;;;;
Stand density;0,6;;;;;;;;-0,5;;-0,7;;;;;;-0,1;;;;
Stand stability;;;;;;;;;;;;;;;;;;;;;
Vigour;;;;;;;;;;;;-0,6;;;;-0,4;;;;;
Fires incidence;;;;;;;;;;;;0,4;;;;;;;;;
Structural diversity;;;;;;;;;;;;;;;;;;;0,7;;
Stand collapse;;;;;;;;;;;;;;;;;;;;;
Pines mortality;;;;;;;;;;0,3;;;;;;;;;;;
Forest planning execution;-0,7;;;;;;;0,8;;;;;;;;;;;;;
Participated and democratic decision-making processes;;;;0,4;;;;;;;;;;0,5;;;;;;;
Pests & diseases incidence;;;;;;0,5;;;;;;;0,8;;;;;;;;
Shrubland growth & regeneration;-0,6;;;;;;;;;;;;;;;;;;;;
Material & human resources;;;;0,9;;;;;;;;;;;;;;;;;
Resilience;;;;;;;;;;;;;;;;;;;;;
Temperature;;;;;;;;;;;;0,7;;;;;;;;;
Precipitation;;;;;;;;;;;;-0,7;;;;;;;;;
