;Fuel quantity & quality;Fuel quantity & quality;Biodiversity;Vegetation biodiversity;Structural diversity;Public & Private investment;Ecosystem health;Science-management transfer & feedback;Burned surface;Economic benefit;Fires intensity
Fuel quantity & quality;;;;;;;;;;;1
Fuel quantity & quality;;;;;;;;;0,8;;0,9
Biodiversity;;;;;0,7;;0,9;;;0,1;
Vegetation biodiversity;0,7;0,8;;;;;;;;;
Structural diversity;;;;;;;0,9;;;;
Public & Private investment;;;0,9;;;;;;;;
Ecosystem health;;;;;;;;;;;
Science-management transfer & feedback;;;0,6;;;;;;;;-0,3
Burned surface;;;;;;;;;;;
Economic benefit;;;;;;-0,4;;;;;
Fires intensity;;;;;;;;;;;
