;Hunting;Mycological use;Aromatic plants & Melliferous use;Main species substitution;Social unrest;Pines growth;Ecosystem services intensity;Extensive livestock use;Native forest recruitment & regeneration;Landscape & Tourism attraction;Underlying vegetation abundance & development degree;Soil quality;Brush-cutting;Stand density;Social profitability & sustainability;Fire prevention quality;Tourism;Social & cultural & economic mountain range valuation
Hunting;;;;;;;0,6;;;;;;;;0,4;;;
Mycological use;;;;;;;0,1;;;;;;;;0,1;;;
Aromatic plants & Melliferous use;;;;;;;0,1;;;;;;;;0,1;;;
Main species substitution;;0,1;;;;;;0,3;;;;;;;;;0,5;
Social unrest;;;;;;;;;;;;;;;;;;
Pines growth;;;;;;;;;;;;;;-0,6;;;;
Ecosystem services intensity;;;;;0,7;;;;;-0,9;;;;;;;;
Extensive livestock use;;;;;;;;;;;;;;;0,3;;;
Native forest recruitment & regeneration;;;;;;;;;;;;;;;;;;
Landscape & Tourism attraction;;;;;;;;;;;;;;;;;;
Underlying vegetation abundance & development degree;;;0,7;;;;;;;0,8;;;;;;;;
Soil quality;;;;;;1;;;;;0,4;;;;;;;
Brush-cutting;;;;;;;;;-0,1;;-0,8;;;;;;;
Stand density;;;;;;;;;0,7;;;;;;;;;
Social profitability & sustainability;;;;;;;;;;;;;;;;;;0,7
Fire prevention quality;;;;;;;;;;;;;-0,6;;;;;
Tourism;;;;;;;0,9;;;;;;;;1;;;
Social & cultural & economic mountain range valuation;;;;;;;;;;;;;;;;;;
