;Landscape attraction;Sustainable economic benefit;Planning and management quality;Environmental awareness;Plantation density;Social discontent;Promoting of local economic activity;Fires incidence;Forest resources use - Mycological resources use and promotion;Forest resources use - Tourist use;Regeneration/Naturalisation ;Fires risk;Forest resources use - Wood use;Overuse of mycological resources and associated destruction;Silvicultural treatments
Landscape attraction;;;;;;;;;;;;;;;
Sustainable economic benefit;;;;;;;;;;;;;;;
Planning and management quality;;;;;;;;;;;1;;;;
Environmental awareness;;;;;;;;-0,5;;0,7;0,7;-0,9;;-0,9;
Plantation density;;;;;;;;;;;-0,9;;;;
Social discontent;;;;;;;;;-0,5;-0,5;;;-0,5;;
Promoting of local economic activity;;;;;;-1;;;;;;;;;
Fires incidence;;;;;;;;;;;;;;;
Forest resources use - Mycological resources use and promotion;;1;;;;;;;;1;;;;;
Forest resources use - Tourist use;;0,7;;;;;;;0,8;;;;;;
Regeneration/Naturalisation ;0,8;;;;;;;;;;;;;;-0,6
Fires risk;;;;;;;;;;;;;;;
Forest resources use - Wood use;;0,7;;;;;;-0,1;;;;-0,9;;;
Overuse of mycological resources and associated destruction;;-0,9;;;;;;;;;;;;;
Silvicultural treatments;;0,7;;;-0,9;;;-0,1;;;;-0,9;;;
