;Adaptation to change;Biodiversity;Thinning;Competition;Plantation density;Development state;Promoting other species development;Public investment;Time limitation;Monospecificity;Slopes;Profitability;Social profitability;Vulnerability against pests and diseases
Adaptation to change;;;;;;;;;;;;;;
Biodiversity;0,9;;;;;;;;;;;-0,6;0,7;
Thinning;;;;;-1;;;;;;;;;
Competition;;;;;;-0,6;;;;;;;;0,9
Plantation density;;;;0,9;;;;;;;;;;
Development state;;;;;;;;;;;;0,8;;
Promoting other species development;;0,8;;;;;;;;;;;;
Public investment;;;;;;;;;;;;;;
Time limitation;;;;;;;;;;;;-0,4;;
Monospecificity;;;;;;;;;;;;;;0,4
Slopes;;;;;;;;;;;;-0,4;;
Profitability;;;0,6;;;;;-0,6;;;;;;
Social profitability;;;;;;;;;;;;;;
Vulnerability against pests and diseases;;;;;;;;;;;;;;
