;Local and communal self-management;Uses diversity;Biomass use;Wood use;Mycological use;Local perception on water consumption by pines;Integrated conservation policies;Conservation pressure;Social local rejection to policies;Recognition, sense of belonging;Farming plots recovery;Local return;Fires risk;Recreational use
Local and communal self-management;;;;;;;;;;1;;1;;
Uses diversity;;;;;;;;;;;;1;;
Biomass use;;;;;;;;;;;;0,6;;
Wood use;;;;;;;;;;;;0,6;;
Mycological use;;;;;;;;;;;;0,6;;0,6
Local perception on water consumption by pines;;;;;;;;;1;;;;;
Integrated conservation policies;1;-1;;;;;;-1;-1;;1;1;-1;
Conservation pressure;;;-1;-1;-0,3;1;;;1;;-1;;1;
Social local rejection to policies;;;;;;;;;;0,8;;;;
Recognition, sense of belonging;;;;;;;;;;;;;;
Farming plots recovery;;;;;;;;;;;;;;
Local return;;;;;;;;;-0,8;1;;;;
Fires risk;;;;;;;;;1;;;;;
Recreational use;;;;;;;;;;0,8;;0,6;;
