;Scientific activity;Uses quality;Climate change effect - precipitation pattern;Climate change effect - temperature;Social education;Use regulation adaptation effort;Acceptance level of conservation by population;Conservation degree;Monetarist uses promotion;Material and human resources;Regeneration;Science-management transfer
Scientific activity;;;;;;;;;;;;
Uses quality;;;;;;;0,4;;;;;
Climate change effect - precipitation pattern;;;;;;0,8;;;;;-0,4;
Climate change effect - temperature;;;;;;0,8;;;;;;
Social education;;;;;;;0,6;;;;;
Use regulation adaptation effort;;0,9;;;;;;0,8;;;;
Acceptance level of conservation by population;;;;;;;;;;;;
Conservation degree;;;;;;;;;;;;
Monetarist uses promotion;;;;;;-0,9;0,8;-0,5;;;;
Material and human resources;0,7;;;;;;;;;;;0,6
Regeneration;;;;;;;;;;;;
Science-management transfer;;;;;;0,8;;;;;;
