;Harvesting abuses;Accesibility;Thinning;Rivers flow;Competition among pines;Social unrest;Stand weakness;Density;Difficult orography;Economic revitalization;Environmental education;Pests incidence;Public investment;Monoculture;Beekeeping and aromatic plants use potential;Biomass use potential;Mycologic use potential;Fire propagation;Wood use profitability;Drought (precipitation & temperature);Uses auction prioritising traditional practices;Mycological tourism
Harvesting abuses;;;;;;1;;;;-0,8;;;;;;;;;;;;
Accesibility;;;;;;;;;;;;;;;;0,8;0,8;;1;;;
Thinning;;;;;;;;-1;;;;;;;;;;;;;;
Rivers flow;;;;;;;;;;;;;;;;;;;;;;
Competition among pines;;;;;;;1;;;;;;;;;;;;;;;
Social unrest;;;;;;;;;;;;;;;;;;;;;;
Stand weakness;;;;;;;;;;;;;;;;;;;;;;
Density;;-1;;-0,7;1;;;;;;;1;;;-0,9;0,8;;0,8;-1;;;
Difficult orography;;-0,8;;;;;;;;;;;;;;;;;;;;
Economic revitalization;;;;;;;;;;;;;;;;;;;;;;
Environmental education;;;;;;;;;;;;;;;;;;;;;;
Pests incidence;;;;;;;;;;;;;;;;;;;;;;
Public investment;;;1;;;;;;;0,8;;;;;;;;;;;;
Monoculture;;;;;;;;;;;;1;;;;;;;;;;
Beekeeping and aromatic plants use potential;;;;;;;;;;;;;;;;;;;;;;
Biomass use potential;;;;;;;;;;;;;;;;;;;;;;
Mycologic use potential;0,9;;;;;;;;;;0,3;;;;;;;;;;;0,7
Fire propagation;;;;;;;;;;;;;;;;;;;;;;
Wood use profitability;;;;;;;;;;;;;;;;;;;;;;
Drought (precipitation & temperature);;;;;0,8;;;;;;;0,8;;;;;;;;;;
Uses auction prioritising traditional practices;;;1;;;;;;;0,8;;;;;;;;;;;;
Mycological tourism;;;;;;;;;;0,8;;;;;;;;;;;;
