;Land use abandonment;Habitats improvement actions (water related);Landscape attraction;Biodiversity;Ecological niche diversity;Climate change effect;Lack of habitat heterogeneity;Ecological function;Shrubland encroachment;Planting;Density reduction;Resilience;Resistance to collapse
Land use abandonment;;;;;;;;;0,5;;;;
Habitats improvement actions (water related);;;;;;;-0,7;;;;;;
Landscape attraction;;;;;;;;;;;;;
Biodiversity;;;;;;;;1;;;;0,7;0,7
Ecological niche diversity;;;;1;;;;;;;;;
Climate change effect;;;;-0,6;;;;;;;;;
Lack of habitat heterogeneity;;;-0,6;;-0,8;;;;;;;;
Ecological function;;;;;;;-1;;;;;;
Shrubland encroachment;;;;;-0,8;;;;;;;;
Planting;;;;;;;-1;;;;;;
Density reduction;;;;;;;-1;;;;;;
Resilience;;;;;;;;;;;;;
Resistance to collapse;;;;;;;;;;;;;
