;Local population roots with the territory;Prevention and extinction infrastructures quality;Horizontal-vertical discontinuity in infrastructures;Promotion of rural economy;Stand development degree;Information management and access tools;Information and education of visitors;Investments;Adverse meteorology;Big fires recurrence;Burned surface in big fires;Silvicultural treatments
Local population roots with the territory;;;;;;;;;;;-0,7;
Prevention and extinction infrastructures quality;;;0,4;;;;;;;;;
Horizontal-vertical discontinuity in infrastructures;;;;;;;;;;;-0,8;
Promotion of rural economy;0,8;;;;;;;;;;;
Stand development degree;;;;;;;;;;;;
Information management and access tools;;0,4;;;;;;;;;;
Information and education of visitors;;;;;0,5;;;;;;-0,5;
Investments;;;;;;;;;;;;1
Adverse meteorology;;;;;;;;;;;0,8;
Big fires recurrence;;;;;-1;;;;;;;
Burned surface in big fires;;;;;-0,9;;;;;;;
Silvicultural treatments;;;;;0,9;;;;;;;
