;Application of progressive socio-forestry policy;Scientific base;Biodiversity;Artificiality degree;Identification;Investment;Participated and democratic decision-making processes;Socio-economic use - agriculture;Socio-economic use - hunting;Socio-economic use - cultural;Socio-economic use - livestock;Socio-economic use - wood, firewood;Social, cultural and economic value;Political and management will
Application of progressive socio-forestry policy;;;;-1;;;;;;;;;;
Scientific base;1;;;;;;;;;;;;;
Biodiversity;;;;;;;;;;;;;;
Artificiality degree;;;-1;;-1;;;-0,2;-0,7;-0,8;-1;-0,5;;
Identification;;;;;;;;;;;;;0,9;
Investment;0,6;;;;;;;;;;;;;
Participated and democratic decision-making processes;1;;;;;;;;;;;;;
Socio-economic use - agriculture;;;;;;;;;;;;;;
Socio-economic use - hunting;;;;;;;;;;;;;;
Socio-economic use - cultural;;;;;;;;;;;;;;
Socio-economic use - livestock;;;;;;;;;;;;;;
Socio-economic use - wood, firewood;;;;;;;;;;;;;;
Social, cultural and economic value;;;;;;;;;;;;;;
Political and management will;1;;;;;;;;;;;;;
