;Blocking of succession;Projects quality;Thinning;Possibility of application of the planning;Deregulation cutting;Weakening - by pests and diseases;Density;Stability;Vigour state;Big fires;Homogeneity;Massive mortalities;Parcial mortalities;Forest planning execution;Participation and social acceptance;Pests and diseases incidence;Underlying vegetation potential;Economic resources  ;Resilience;Droughts
Blocking of succession;;;;;;;;;;;;;;;;;;;;
Projects quality;;;;;;;;;;;;;;0,8;;;;;;
Thinning;;;;;;;-0,9;;;;;;;;;;;;;
Possibility of application of the planning;;;;;;;;;;;;;;;0,3;;;;;
Deregulation cutting;;;;;;;;;;;-0,5;;;;;;;;;
Weakening - by pests and diseases;;;;;;;;;;;;0,6;;;;;;;;
Density;0,6;;;;;;;;-0,5;;0,7;;;;;;-0,1;;;
Stability;;;;;;;;;;;;;;;;;;;;
Vigour state;;;;;;;;;;;;-0,6;;;;-0,4;;;;
Big fires;;;;;;;;;;;;0,4;;;;;;;;
Homogeneity;;;;;;;;;;;;;;;;;;;-0,7;
Massive mortalities;;;;;;;;;;;;;;;;;;;;
Parcial mortalities;;;;;;;;;;0,3;;;;;;;;;;
Forest planning execution;-0,7;;;;;;;0,8;;;;;;;;;;;;
Participation and social acceptance;;;;0,4;;;;;;;;;;0,5;;;;;;
Pests and diseases incidence;;;;;;0,5;;;;;;;0,8;;;;;;;
Underlying vegetation potential;-0,6;;;;;;;;;;;;;;;;;;;
Economic resources  ;;;;0,9;;;;;;;;;;;;;;;;
Resilience;;;;;;;;;;;;;;;;;;;;
Droughts;;;;;;;;;;;;0,7;;;;;;;;
