;Continuity in time;Climate change effect;Structure stability;Forest management;Local economy improvement;Uses (biomass);Decay processes;Regeneration;Resilience;Fires risk;Species substitution
Continuity in time;;;;;;;;;;;
Climate change effect;;;;;;;1;;;;
Structure stability;;;;;;;;-0,9;-1;;-0,9
Forest management;;-0,3;-1;;;1;-0,9;1;1;-1;0,9
Local economy improvement;;;;;;;;;;;
Uses (biomass);;;;;0,8;;;;;;
Decay processes;;;;;;;;;;;
Regeneration;1;;-0,5;;;;;;0,8;;
Resilience;1;;;;;;;;;;
Fires risk;;;;;;;;;;;
Species substitution;1;;;;;;;;;;
