;Hunting use;Mycological use;Aromatic plants use potential;Change of tree vegetation in specific areas;Social conflictivity;Pine stand development degree;Uses intensity;Livestock use potential;Holm oak natural regeneration potential;Tourism interest;Pine accompanying vegetation presence;Soil depth;Non-selective brush-cutting;Pines shading;Social sustainability;Badly performed fire prevention tasks;Tourism ;Mountain range valuation
Hunting use;;;;;;;0,6;;;;;;;;0,4;;;
Mycological use;;;;;;;0,1;;;;;;;;0,1;;;
Aromatic plants use potential;;;;;;;0,1;;;;;;;;0,1;;;
Change of tree vegetation in specific areas;;0,1;;;;;;0,3;;;;;;;;;0,5;
Social conflictivity;;;;;;;;;;;;;;;;;;
Pine stand development degree;;;;;;;;;;;;;;-0,6;;;;
Uses intensity;;;;;0,7;;;;;-0,9;;;;;;;;
Livestock use potential;;;;;;;;;;;;;;;0,3;;;
Holm oak natural regeneration potential;;;;;;;;;;;;;;;;;;
Tourism interest;;;;;;;;;;;;;;;;;;
Pine accompanying vegetation presence;;;0,7;;;;;;;0,8;;;;;;;;
Soil depth;;;;;;1;;;;;0,4;;;;;;;
Non-selective brush-cutting;;;;;;;;;-0,1;;-0,8;;;;;;;
Pines shading;;;;;;;;;0,7;;;;;;;;;
Social sustainability;;;;;;;;;;;;;;;;;;0,7
Badly performed fire prevention tasks;;;;;;;;;;;;;0,6;;;;;
Tourism ;;;;;;;0,9;;;;;;;;1;;;
Mountain range valuation;;;;;;;;;;;;;;;;;;
