;Soil acidification;Selective thinning, coppice with standards;Soil alteration;Shrubland growth;Density;Structural soil development;Nutrients and organic matter availability;Biodiversity - Edaphofauna;Biodiversity - Vegetal species;Biodiversity - Vertebrate fauna;Monospecificity;Surface
Soil acidification;;;;;;;;;;;;
Selective thinning, coppice with standards;;;;;-0,8;;;;;;;-0,8
Soil alteration;;;;;;;;;;;;
Shrubland growth;;;;;;;;1;1;1;-1;
Density;0,5;;;-1;;-0,7;;-0,8;-0,8;-0,8;;
Structural soil development;;;;;;;;;;;;
Nutrients and organic matter availability;;;;;;;;;0,8;;;
Biodiversity - Edaphofauna;;;;;;;0,7;;1;;;
Biodiversity - Vegetal species;;;;;;;;;;;;
Biodiversity - Vertebrate fauna;;;;;;;;;0,6;;;
Monospecificity;;;;;;;;-0,8;-0,9;-0,8;;
Surface;;;0,8;;;;;;-1;;;
