;Ecosystem services - CO2 storage;Ecosystem services - Recreational use attraction;Auto-thinning;Biodiversity;Global change;Thinning;Vegetation cover;Plantation density;Plantation age;Pests incidence;Direct investment and use;Hydraulic infrastructures;Ecosystem services - Protection against erosion;Ecosystem services - Protection against land slides;Soil regeneration;Excessive pine biomass;Vulnerability against fires
Ecosystem services - CO2 storage;;;;;;;;;;;;;;;;;
Ecosystem services - Recreational use attraction;;;;;;;;;;;;;;;;;
Auto-thinning;;;;;;;;-1;;;;;;;;;
Biodiversity;-0,4;0,6;;;;;;;;;;;;;;;
Global change;;;0,4;;;;;;;0,7;;;;;;;0,6
Thinning;;;;;;;;-1;;;;;;;;;
Vegetation cover;;;;;;;;;;;;;1;;1;;
Plantation density;0,8;;;-0,8;;;;;;0,5;;;;;;;
Plantation age;;;;;;;;;;;;;0,2;;0,6;;
Pests incidence;;;;;;;;;;;;;;;;;
Direct investment and use;;;;;;0,5;;;;;;;;;;;
Hydraulic infrastructures;;;;;;;;;;;;;1;1;;;
Ecosystem services - Protection against erosion;;;;;;;;;;;;;;;;;
Ecosystem services - Protection against land slides;;;;;;;;;;;;;;;;;
Soil regeneration;;;;;;;;;;;;;;;;;
Excessive pine biomass;-0,9;;1;-0,8;;;;;;;;;;;;;0,6
Vulnerability against fires;;;;;;;;;;;;;;;;;
