;Potential direct economic benefit;Indirect benefits;Biodiversity;Site class;Adaptation capacity (resilience);Plantation density;Economic resources availability;Climate change effect;External agents entrance;Classic pests and diseases incidence;Emerging pests and diseases incidence;Resources production (biomass and wood);Promoting of potential natural vegetation / Diversify;Long term survival;Silvicultural treatments (selective cutting, thinning);Vigour/State of growth
Potential direct economic benefit;;;;;;;;;;;;;;;0,8;
Indirect benefits;;;;;;;;;;;;;;;;
Biodiversity;;;;;0,9;;;;;;;;;;;
Site class;;;;;;;;;;-0,7;-0,7;;;;;0,8
Adaptation capacity (resilience);;;;;;;;;;;;;;0,9;;
Plantation density;;;-0,9;;;;;;;;;;;;;-0,8
Economic resources availability;;;;;;;;;;;;;;;0,8;
Climate change effect;;;;;;;;;;;0,6;;;-0,7;;
External agents entrance;;;;;;;;;;;0,6;;;;;
Classic pests and diseases incidence;;;;;;;;;;;;;;;;
Emerging pests and diseases incidence;;;;;;;;;;;;;;;;
Resources production (biomass and wood);0,8;;;;;;;;;;;;;;;
Promoting of potential natural vegetation / Diversify;0,6;0,8;0,9;;;;;;;;;;;;;
Long term survival;;;;;;;;;;;;;;;;
Silvicultural treatments (selective cutting, thinning);;;;;;-1;;;;;;;;;;0,8
Vigour/State of growth;;;;;;;;;;;;0,6;;0,9;;
